recruiter_id,recruiter_name,recruiter_team
1,Aditi Sharma,Product Hiring
2,Rahul Verma,General Hiring
3,Priya Singh,Tech Hiring
4,Ankit Gupta,Product Hiring
5,Sneha Patel,Product Hiring
6,Rohit Mehta,General Hiring
7,Neha Kapoor,Tech Hiring
8,Karan Shah,Tech Hiring
9,Pooja Agarwal,Product Hiring
10,Vivek Kumar,Data Hiring
11,Riya Joshi,Product Hiring
12,Arjun Nair,Product Hiring
13,Simran Reddy,Product Hiring
14,Kavya Mishra,Product Hiring
15,Varun Malhotra,General Hiring
16,Isha Mehta,Tech Hiring
17,Akash Patel,General Hiring
18,Meera Shah,General Hiring
19,Nikhil Gupta,General Hiring
20,Sakshi Verma,Product Hiring
